file_name,Orientation Loss,Edge Coverage,Average Thickness,Average Separation,Distance Entropy,Zoom,Focus,Contrast
['data/modified_images/25000/pillar1_bottom_001_22.tif'],248.0228577,21.45423889,1.587278962,1.89042151,0.990103369,25000,8,66.5874
['data/modified_images/25000/pillar1_crown_001_12.tif'],232.665863,21.10786438,1.617346406,1.807144046,0.995191047,25000,7.9,66.5874
['data/modified_images/25000/pillar1_top_001_21.tif'],160.1535339,18.97964478,1.85415411,2.025063038,0.998723013,25000,8,63.1759
['data/modified_images/25000/pillar2_crown_001_11.tif'],265.7743225,21.21639252,1.590408921,1.826176047,0.99305353,25000,7.4,67.1546
['data/modified_images/25000/pillar2_top_001_21.tif'],198.6442108,22.97363281,1.587109208,1.7145046,0.997697028,25000,7.9,66.5874
['data/modified_images/25000/pillar3_bottom_001_21.tif'],357.9331665,21.05197906,1.603851676,1.888311625,0.991394357,25000,7.6,66.73
['data/modified_images/25000/pillar3_crown_001_22.tif'],232.2848816,21.05236053,1.64423275,1.823720574,0.996511754,25000,7.5,66.5874
['data/modified_images/25000/pillar3_middle_001_22.tif'],247.2997589,22.04265594,1.620811343,1.790234208,0.996391178,25000,7.5,66.5874
['data/modified_images/25000/pillar4_bottom_001_12.tif'],298.4508972,21.97284698,1.609037995,1.778503776,0.996605376,25000,7.6,66.4289
['data/modified_images/25000/pillar4_crown_001_21.tif'],115.6246109,21.00505829,1.681515813,1.798581481,0.998847245,25000,7.5,65.8108
['data/modified_images/25000/pillar4_middle_001_22.tif'],143.4759979,21.69761658,1.651789904,1.784990072,0.998034676,25000,7.6,65.8108
['data/modified_images/25000/sample_10_001_12.tif'],58.55398178,20.03917694,1.701216936,1.82891655,0.999414493,25000,8.9,70.1598
['data/modified_images/25000/sample_4_001_11.tif'],195.9513397,21.96979523,1.631852031,1.77280581,0.997750244,25000,6.8,72.9474
['data/modified_images/25000/sample_4_002_21.tif'],140.1530914,21.19655609,1.658536315,1.847724795,0.996934863,25000,6.9,72.9474
['data/modified_images/25000/sample_4_003_22.tif'],183.3169098,20.753479,1.608817458,1.935217381,0.989382976,25000,6.7,72.9474
