file_name,Orientation Loss,Edge Coverage,Average Thickness,Average Separation,Distance Entropy,Zoom,Focus,Contrast
['data/modified_images/25000/pillar1_bottom_001_11.tif'],231.3095093,22.28622437,1.571266651,1.811392188,0.993076249,25000,8,66.5874
['data/modified_images/25000/pillar1_bottom_001_12.tif'],241.9366913,22.0041275,1.590347171,1.821835279,0.993209636,25000,8,66.5874
['data/modified_images/25000/pillar1_bottom_001_21.tif'],241.4697266,21.45252228,1.574472308,1.924682021,0.987878561,25000,8,66.5874
['data/modified_images/25000/pillar1_crown_001_11.tif'],208.1102448,21.50287628,1.607180119,1.785108328,0.995808053,25000,7.9,66.5874
['data/modified_images/25000/pillar1_crown_001_21.tif'],193.7037354,22.12677002,1.607440472,1.769628763,0.996569753,25000,7.9,66.5874
['data/modified_images/25000/pillar1_crown_001_22.tif'],184.4501801,22.32170105,1.600156188,1.723036051,0.997432783,25000,7.9,66.5874
['data/modified_images/25000/pillar1_middle_001_11.tif'],187.4486389,22.32093811,1.596415877,1.74011898,0.997165915,25000,8,66.5874
['data/modified_images/25000/pillar1_middle_001_12.tif'],183.8769989,22.26982117,1.603237271,1.770210147,0.996341117,25000,8,66.5874
['data/modified_images/25000/pillar1_middle_001_21.tif'],198.9937286,21.84829712,1.616054177,1.787217975,0.99631123,25000,8,66.5874
['data/modified_images/25000/pillar1_middle_001_22.tif'],186.971405,22.19924927,1.606731176,1.763190985,0.996357582,25000,8,66.5874
['data/modified_images/25000/pillar1_top_001_11.tif'],153.045929,19.67506409,1.838466048,1.901469588,0.999780568,25000,8,63.1759
['data/modified_images/25000/pillar1_top_001_12.tif'],154.5023346,19.80133057,1.816494703,1.895397782,0.999676176,25000,8,63.1759
['data/modified_images/25000/pillar1_top_001_22.tif'],169.3670197,19.53086853,1.820152283,1.948182464,0.999335794,25000,8,63.1759
['data/modified_images/25000/pillar2_crown_001_12.tif'],261.3850403,20.63770294,1.619874239,1.839369416,0.994298666,25000,7.4,67.1546
['data/modified_images/25000/pillar2_crown_001_21.tif'],262.7166748,21.23508453,1.60949719,1.83661139,0.99367036,25000,7.4,67.1546
['data/modified_images/25000/pillar2_crown_001_22.tif'],253.2576752,21.31690979,1.591999054,1.821449637,0.994269214,25000,7.4,67.1546
['data/modified_images/25000/pillar2_top_001_11.tif'],178.5323181,22.80654907,1.59511137,1.693841457,0.998152437,25000,7.9,66.5874
['data/modified_images/25000/pillar2_top_001_12.tif'],185.3426208,22.32532501,1.617960811,1.733822942,0.997979096,25000,7.9,66.5874
['data/modified_images/25000/pillar2_top_001_22.tif'],199.1849365,22.62821198,1.6139642,1.721032619,0.997992483,25000,7.9,66.5874
['data/modified_images/25000/pillar3_bottom_001_11.tif'],356.37854,22.09644318,1.636620283,1.733460307,0.998413394,25000,7.6,66.73
['data/modified_images/25000/pillar3_bottom_001_12.tif'],337.3780823,22.28832245,1.631649375,1.727812409,0.999096607,25000,7.6,66.73
['data/modified_images/25000/pillar3_bottom_001_22.tif'],357.2864685,21.85440063,1.589766264,1.798134923,0.995222503,25000,7.6,66.73
['data/modified_images/25000/pillar3_crown_001_11.tif'],268.7671509,20.6401825,1.638735533,1.799761653,0.997218841,25000,7.5,66.5874
['data/modified_images/25000/pillar3_crown_001_12.tif'],264.2017822,20.85933685,1.649733782,1.801083326,0.996951361,25000,7.5,66.5874
['data/modified_images/25000/pillar3_crown_001_21.tif'],257.393219,21.43669128,1.627202272,1.762386799,0.997813767,25000,7.5,66.5874
['data/modified_images/25000/pillar3_middle_001_11.tif'],232.3180084,21.98581696,1.627734661,1.795574069,0.99664382,25000,7.5,66.5874
['data/modified_images/25000/pillar3_middle_001_12.tif'],227.4784088,22.07069397,1.629589438,1.775833726,0.996904622,25000,7.5,66.5874
['data/modified_images/25000/pillar3_middle_001_21.tif'],269.1671143,22.14298248,1.614829779,1.785815358,0.996323042,25000,7.5,66.5874
['data/modified_images/25000/pillar3_top_001_11.tif'],217.4617157,22.40390778,1.618873954,1.750695348,0.997865607,25000,7.5,66.5874
['data/modified_images/25000/pillar3_top_001_12.tif'],215.4954834,22.03006744,1.642315149,1.756510139,0.998439114,25000,7.5,66.5874
['data/modified_images/25000/pillar3_top_001_21.tif'],229.0686035,22.51663208,1.590911269,1.742737651,0.997170057,25000,7.5,66.5874
['data/modified_images/25000/pillar3_top_001_22.tif'],229.0417938,22.10388184,1.638030052,1.752104878,0.998386943,25000,7.5,66.5874
['data/modified_images/25000/pillar4_bottom_001_11.tif'],279.4572754,21.76017761,1.600764275,1.793850303,0.995244908,25000,7.6,66.4289
['data/modified_images/25000/pillar4_bottom_001_21.tif'],338.4062805,21.14467621,1.555772662,1.910311341,0.986065323,25000,7.6,66.4289
['data/modified_images/25000/pillar4_bottom_001_22.tif'],344.7426147,21.04740143,1.578193188,1.900219798,0.986509044,25000,7.6,66.4289
['data/modified_images/25000/pillar4_crown_001_11.tif'],218.7575684,21.56620026,1.611510038,1.770146132,0.997159005,25000,7.5,65.8108
['data/modified_images/25000/pillar4_crown_001_12.tif'],220.4400177,21.66900635,1.606767058,1.756152987,0.997487041,25000,7.5,65.8108
['data/modified_images/25000/pillar4_crown_001_22.tif'],115.0034409,21.04454041,1.699756026,1.770397305,0.999470484,25000,7.5,65.8108
['data/modified_images/25000/pillar4_middle_001_11.tif'],175.255127,22.15576172,1.623315692,1.75681448,0.997190722,25000,7.6,65.8108
['data/modified_images/25000/pillar4_middle_001_12.tif'],177.8966522,22.22690582,1.605738401,1.775473475,0.996834211,25000,7.6,65.8108
['data/modified_images/25000/pillar4_middle_001_21.tif'],155.0968018,22.14488983,1.627251863,1.751419187,0.997985504,25000,7.6,65.8108
['data/modified_images/25000/pillar4_top_001_11.tif'],167.5969543,22.20745087,1.602891088,1.762085676,0.997092937,25000,7.6,65.8108
['data/modified_images/25000/pillar4_top_001_12.tif'],173.1696472,22.59254456,1.594669461,1.729484797,0.997439351,25000,7.6,65.8108
['data/modified_images/25000/pillar4_top_001_21.tif'],150.0110474,22.01728821,1.638695359,1.7643888,0.998143508,25000,7.6,65.8108
['data/modified_images/25000/pillar4_top_001_22.tif'],154.7977142,22.07756042,1.627907753,1.750113368,0.99810306,25000,7.6,65.8108
['data/modified_images/25000/sample_10_001_11.tif'],51.21346664,19.77138519,1.701395512,1.860804796,0.998451384,25000,8.9,70.1598
['data/modified_images/25000/sample_10_001_21.tif'],44.77359009,18.95694733,1.761310697,1.933648825,0.998990399,25000,8.9,70.1598
['data/modified_images/25000/sample_10_001_22.tif'],53.79504776,19.63024139,1.730278373,1.848814726,0.999620562,25000,8.9,70.1598
['data/modified_images/25000/sample_4_001_12.tif'],198.3643646,21.44374847,1.688387513,1.788132548,0.998654948,25000,6.8,72.9474
['data/modified_images/25000/sample_4_001_21.tif'],197.9093781,22.01194763,1.638670921,1.771413445,0.997974429,25000,6.8,72.9474
['data/modified_images/25000/sample_4_001_22.tif'],198.6726074,21.23088837,1.711316586,1.805152535,0.998852081,25000,6.8,72.9474
['data/modified_images/25000/sample_4_002_11.tif'],139.4258728,21.93641663,1.629247785,1.783454418,0.997592545,25000,6.9,72.9474
['data/modified_images/25000/sample_4_002_12.tif'],138.6359711,21.31977081,1.648257732,1.829791903,0.996679803,25000,6.9,72.9474
['data/modified_images/25000/sample_4_002_22.tif'],127.7516022,21.58546448,1.626166582,1.811756968,0.99683202,25000,6.9,72.9474
['data/modified_images/25000/sample_4_003_11.tif'],187.6145782,20.86963654,1.613266468,1.917994857,0.991355727,25000,6.7,72.9474
['data/modified_images/25000/sample_4_003_12.tif'],193.0217285,20.91751099,1.577162862,1.948475599,0.987358659,25000,6.7,72.9474
['data/modified_images/25000/sample_4_003_21.tif'],155.3928375,20.75080872,1.609388947,1.932966471,0.990464806,25000,6.7,72.9474
['data/modified_images/25000/sample_4_004_11.tif'],159.074234,21.002388,1.660269022,1.894463658,0.995808893,25000,6.6,71.1882
['data/modified_images/25000/sample_4_004_12.tif'],155.8734589,20.93849182,1.677646518,1.860475063,0.996751184,25000,6.6,71.1882
['data/modified_images/25000/sample_4_004_21.tif'],143.9450989,20.47119141,1.697307467,1.926707387,0.995382638,25000,6.6,71.1882
['data/modified_images/25000/sample_4_005_11.tif'],79.72278595,18.73836517,1.663990259,2.165328979,0.984663217,25000,6.7,69.3972
