Orientation Loss,Edge Coverage,Average Thickness,Average Separation,Distance Entropy,Zoom,Focus,Contrast
1908.657349,22.0302,1.4655,1.9388,0.9664,7000,6.5,68.4286
1392.702637,22.8446,1.427,1.8045,0.9719,7000,7.6,67.6093
1516.645508,20.9709,1.5001,2.0243,0.9609,8000,6.7,68.6726
2036.614014,21.5271,1.5899,1.948,0.9793,7000,6.4,68.8666
855.0296631,21.8735,1.5065,1.9006,0.9804,7000,7.5,67.2779
873.7219849,24.5908,1.534,1.6032,0.999,7000,7,65.6405
1263.416016,21.7098,1.6179,1.8803,0.9921,7000,6.6,67.6946
1754.210449,23.2935,1.4338,1.8001,0.9768,7000,7.6,68.826
1152.80127,22.6294,1.6481,1.7715,0.996,7000,6.7,66.7754
1648.608521,23.022,1.4975,1.7977,0.9834,7000,7.6,68.826
1130.388184,22.5946,1.4801,1.8702,0.9807,7000,7.4,67.2779
1459.93335,21.1937,1.9968,1.8753,0.9951,7000,7.2,67.7375
1504.066284,19.8257,1.5317,2.2086,0.9603,13000,6.5,68.4286
1005.00415,19.9798,1.6516,1.9729,0.9874,13000,7.6,67.6093
1393.378784,20.3967,1.5325,2.0875,0.9684,13000,6.7,67.69
1934.752808,19.9988,1.5991,2.1109,0.9748,13000,6.4,68.8666
794.3283081,20.0348,1.6176,2.0653,0.9832,13000,7.5,67.2779
985.564209,19.8226,1.581,2.1582,0.9735,13000,7.4,67.2779
1266.625854,20.4157,1.6638,1.9959,0.99,13000,7.2,67.7375
1367.129272,20.7555,1.5467,2.0168,0.9778,13000,7.6,68.826
1019.319641,20.748,1.6278,1.9801,0.9884,13000,6.7,66.7754
1290.202637,21.2645,1.6282,1.8798,0.9931,13000,7.6,68.826
595.335144,22.4555,1.6384,1.7147,0.9994,13000,7,65.6405
921.8977661,19.9594,1.7144,2.0049,0.9922,13000,6.6,67.6946
984.840271,16.6378,1.8696,2.5217,0.9765,25000,6.5,68.7773
439.8460999,16.5547,1.9643,2.4226,0.9892,25000,7.5,67.2779
762.5458984,17.9451,1.6979,2.3449,0.9704,25000,6.7,67.69
1037.830566,16.6758,1.8025,2.6209,0.9644,25000,6.4,68.8666
524.2633667,16.6122,1.8636,2.3759,0.983,25000,7.6,67.6093
275.7365112,18.5441,1.9253,1.9729,1,25000,7,65.6405
671.9555664,17.3007,1.9295,2.3233,0.9882,25000,7.2,67.7375
462.3661499,16.053,1.8254,2.7515,0.9686,25000,7.4,67.2779
496.5552063,17.3473,1.9145,2.3076,0.9914,25000,6.7,66.7754
731.6260376,16.9321,2.0241,2.2938,0.9957,25000,7.6,68.826
811.5480957,16.5228,1.8664,2.5149,0.9774,25000,7.6,68.826
443.2066345,16.1193,2.1386,2.4165,0.9962,25000,6.6,67.6946
373.6285095,11.7031,3.0785,3.189,0.9982,50000,7.5,69.2142
125.5172958,13.5489,2.4059,2.7382,0.9982,50000,7,65.6405
310.2989197,12.7468,2.3778,3.2554,0.9776,50000,7.2,67.7375
387.4692993,11.4401,2.8908,3.2035,0.995,50000,7.6,69.3807
342.6899414,13.3282,2.1457,3.1926,0.9648,50000,6.7,67.69
346.4463196,11.4341,2.7522,3.5327,0.9877,50000,7.6,68.826
216.7335052,12.3626,2.5778,3.4243,0.9866,50000,6.6,67.6946
465.2774658,12.7644,2.3037,3.4747,0.9607,50000,6.4,68.8666
207.9410553,11.2467,2.3073,4.0969,0.9466,50000,7.4,67.2779
341.2772217,11.3185,2.3565,3.939,0.9468,50000,7.6,68.826
465.3130188,12.4109,2.5097,3.3491,0.9772,50000,6.5,68.7773
210.1758423,12.6377,2.3632,3.2207,0.9822,50000,6.7,66.7754
